indicator,type,source,first_seen,last_seen
http://120.60.226.22:37653/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://120.77.206.185:8001/02.08.2022.exe,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://120.77.8.76:8088/02.08.2022.exe,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://121.73.162.185:8082/sshd,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.10.203.173:36931/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.10.203.173:36931/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.129.128.111:41481/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.14.36.212:58739/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.14.36.212:58739/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.14.39.238:48701/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.188.66.153:47436/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.188.66.153:47436/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.190.228.98:48857/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.190.228.98:48857/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.209.200.56/sshd,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.209.85.206:85/sshd,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.5.126.135:42749/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.5.158.85:43013/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.8.59.236:43936/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.9.116.67:39524/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.9.245.40:56368/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.99.198.195:66/A07/Items.dll,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://123.99.198.195:99/A07/Items.dll,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://124.248.66.227:99/A07/Items.dll,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://124.95.22.252:37065/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://125.128.239.95:58401/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://125.40.147.126:57262/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://125.41.207.182:34999/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://125.41.207.182:34999/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://125.41.94.149:51075/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://125.42.120.84:49814/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://125.42.28.32:36359/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://125.42.28.32:36359/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
